fips_state_county_code,year,site_name,pop_total_any_ethnicity,pop_adult_any_ethnicity,pop_total_any_ethnicity_17,pop_total_hispanic_any_race,pop_adult_hispanic_any_race,pop_adult_hispanic_17_any_race,pop_total_black_any_ethnicity,pop_adult_black_any_ethnicity,pop_adult_male_black_any_ethnicity,pop_adult_female_black_any_ethnicity,pop_total_black_non_hispanic,pop_adult_black_non_hispanic,pop_adult_male_black_non_hispanic,pop_adult_female_black_non_hispanic,pop_adult_black_17_any_ethnicity,pop_adult_black_17_non_hispanic,pop_total_white_any_ethnicity,pop_adult_white_any_ethnicity,pop_adult_male_white_any_ethnicity,pop_adult_female_white_any_ethnicity,pop_total_white_non_hispanic,pop_adult_white_non_hispanic,pop_adult_male_white_non_hispanic,pop_adult_female_white_non_hispanic,pop_adult_white_17_any_ethnicity,pop_adult_white_17_non_hispanic,pop_total_AIAN_any_ethnicity,pop_adult_AIAN_any_ethnicity,pop_adult_male_AIAN_any_ethnicity,pop_adult_female_AIAN_any_ethnicity,pop_total_AIAN_non_hispanic,pop_adult_AIAN_non_hispanic,pop_adult_male_AIAN_non_hispanic,pop_adult_female_AIAN_non_hispanic,pop_adult_AIAN_17_any_ethnicity,pop_adult_AIAN_17_non_hispanic,pop_total_API_any_ethnicity,pop_adult_API_any_ethnicity,pop_adult_male_API_any_ethnicity,pop_adult_female_API_any_ethnicity,pop_total_API_non_hispanic,pop_adult_API_non_hispanic,pop_adult_male_API_non_hispanic,pop_adult_female_API_non_hispanic,pop_adult_API_17_any_ethnicity,pop_adult_API_17_non_hispanic
04019,2010,Pima,981649,756826,770133,340154,224116,230543,44238,30247,16443,13804,35900,25833,14393,11440,31037,26456,859784,671333,325015,346318,551556,466465,227256,239209,682608,471915,44475,29604,14174,15430,25279,17479,8151,9328,30429,17946,33152,25642,11612,14030,28760,22933,10344,12589,26059,23273
04019,2011,Pima,988500,765156,778193,346229,230570,236894,45239,31179,17076,14103,36653,26563,14918,11645,31940,27160,863697,677047,328468,348579,549994,466308,227542,238766,688013,471558,45071,30222,14525,15697,25645,17806,8353,9453,31027,18256,34493,26708,12099,14609,29979,23909,10784,13125,27213,24325
04019,2012,Pima,993231,771246,784087,351658,236337,242749,46199,31942,17515,14427,37381,27201,15317,11884,32701,27775,865833,680917,330556,350361,547397,464899,227093,237806,691678,469906,45659,30713,14792,15921,25903,18044,8498,9546,31531,18472,35540,27674,12570,15104,30892,24765,11223,13542,28177,25185
04019,2013,Pima,997374,776739,789349,357032,242163,248388,46968,32592,17935,14657,37918,27666,15668,11998,33323,28221,867556,684276,332238,352038,544228,462958,226242,236716,694824,467907,46052,31095,14966,16129,26152,18202,8544,9658,31887,18627,36798,28776,13149,15627,32044,25750,11750,14000,29315,26206
04019,2014,Pima,1004521,784129,796689,363277,247982,254352,47946,33304,18364,14940,38604,28207,15997,12210,34026,28745,872070,689376,335165,354211,543131,462805,226381,236424,699896,467596,46477,31583,15204,16379,26372,18407,8674,9733,32367,18820,38028,29866,13714,16152,33137,26728,12261,14467,30400,27176
04019,2015,Pima,1009490,790273,802757,370001,254246,260702,48216,33583,18476,15107,38667,28329,16051,12278,34323,28868,875302,693964,337119,356845,540562,461702,225601,236101,704397,466336,47314,32192,15487,16705,26555,18643,8775,9868,32966,19057,38658,30534,14074,16460,33705,27353,12589,14764,31071,27794
04019,2016,Pima,1017083,798922,811633,376288,260262,266780,49322,34609,19048,15561,39536,29171,16515,12656,35369,29740,880075,700153,340275,359878,539997,462446,226087,236359,710734,467172,47964,32631,15678,16953,26648,18812,8833,9979,33428,19238,39722,31529,14512,17017,34614,28231,12977,15254,32102,28703
04019,2017,Pima,1027115,809751,822875,383198,266856,273869,50600,35720,19638,16082,40491,30051,16980,13071,36539,30651,887305,708509,344282,364227,541381,464855,227250,237605,719397,469465,48722,33154,15928,17226,26765,19021,8915,10106,34018,19475,40488,32368,14938,17430,35280,28968,13363,15605,32921,29415
04019,2018,Pima,1037746,821642,834466,389909,273918,280703,51621,36735,20121,16614,41220,30801,17339,13462,37500,31350,895516,718043,348844,369199,543816,468027,228712,239315,728755,472669,49381,33783,16207,17576,26909,19324,9033,10291,34616,19746,41228,33081,15333,17748,35892,29572,13685,15887,33595,29998
04019,2019,Pima,1049261,833813,846161,396734,280767,287267,52717,37779,20688,17091,42057,31639,17778,13861,38593,32236,904251,727794,353262,374532,546866,471663,230228,241435,738010,476067,50240,34462,16523,17939,27133,19624,9174,10450,35255,20039,42053,33778,15679,18099,36471,30120,13956,16164,34303,30552
