fips_state_county_code,year,site_name,pop_total_any_ethnicity,pop_adult_any_ethnicity,pop_total_any_ethnicity_17,pop_total_hispanic_any_race,pop_adult_hispanic_any_race,pop_adult_hispanic_17_any_race,pop_total_black_any_ethnicity,pop_adult_black_any_ethnicity,pop_total_black_non_hispanic,pop_adult_black_non_hispanic,pop_adult_black_17_any_ethnicity,pop_adult_black_17_non_hispanic,pop_total_white_any_ethnicity,pop_adult_white_any_ethnicity,pop_total_white_non_hispanic,pop_adult_white_non_hispanic,pop_adult_white_17_any_ethnicity,pop_adult_white_17_non_hispanic,pop_total_AIAN_any_ethnicity,pop_adult_AIAN_any_ethnicity,pop_total_AIAN_non_hispanic,pop_adult_AIAN_non_hispanic,pop_adult_AIAN_17_any_ethnicity,pop_adult_AIAN_17_non_hispanic,pop_total_API_any_ethnicity,pop_adult_API_any_ethnicity,pop_total_API_non_hispanic,pop_adult_API_non_hispanic,pop_adult_API_17_any_ethnicity,pop_adult_API_17_non_hispanic
04019,2010,Pima,981649,756826,770133,340154,224116,230543,44238,30247,35900,25833,31037,26456,859784,671333,551556,466465,682608,471915,44475,29604,25279,17479,30429,17946,33152,25642,28760,22933,26059,23273
04019,2011,Pima,988500,765156,778193,346229,230570,236894,45239,31179,36653,26563,31940,27160,863697,677047,549994,466308,688013,471558,45071,30222,25645,17806,31027,18256,34493,26708,29979,23909,27213,24325
04019,2012,Pima,993231,771246,784087,351658,236337,242749,46199,31942,37381,27201,32701,27775,865833,680917,547397,464899,691678,469906,45659,30713,25903,18044,31531,18472,35540,27674,30892,24765,28177,25185
04019,2013,Pima,997374,776739,789349,357032,242163,248388,46968,32592,37918,27666,33323,28221,867556,684276,544228,462958,694824,467907,46052,31095,26152,18202,31887,18627,36798,28776,32044,25750,29315,26206
04019,2014,Pima,1004521,784129,796689,363277,247982,254352,47946,33304,38604,28207,34026,28745,872070,689376,543131,462805,699896,467596,46477,31583,26372,18407,32367,18820,38028,29866,33137,26728,30400,27176
04019,2015,Pima,1009490,790273,802757,370001,254246,260702,48216,33583,38667,28329,34323,28868,875302,693964,540562,461702,704397,466336,47314,32192,26555,18643,32966,19057,38658,30534,33705,27353,31071,27794
04019,2016,Pima,1017083,798922,811633,376288,260262,266780,49322,34609,39536,29171,35369,29740,880075,700153,539997,462446,710734,467172,47964,32631,26648,18812,33428,19238,39722,31529,34614,28231,32102,28703
04019,2017,Pima,1027115,809751,822875,383198,266856,273869,50600,35720,40491,30051,36539,30651,887305,708509,541381,464855,719397,469465,48722,33154,26765,19021,34018,19475,40488,32368,35280,28968,32921,29415
04019,2018,Pima,1037746,821642,834466,389909,273918,280703,51621,36735,41220,30801,37500,31350,895516,718043,543816,468027,728755,472669,49381,33783,26909,19324,34616,19746,41228,33081,35892,29572,33595,29998
04019,2019,Pima,1049261,833813,846161,396734,280767,287267,52717,37779,42057,31639,38593,32236,904251,727794,546866,471663,738010,476067,50240,34462,27133,19624,35255,20039,42053,33778,36471,30120,34303,30552
