fips_state_county_code,year,site_name,pop_total_any_ethnicity,pop_adult_any_ethnicity,pop_adult_male_any_ethnicity,pop_adult_femlae_any_ethnicity,total_pop_young_any_ethnicity,total_pop_middle_any_ethnicity,total_pop_older_any_ethnicity,total_pop_poc,total_adult_poc,total_adult_male_poc,total_adult_female_poc,total_poc_young,total_poc_middle,total_poc_older,pop_total_hispanic_any_race,pop_adult_hispanic_any_race,pop_adult_male_hispanic_any_race,pop_adult_female_hispanic_any_race,pop_hispanic_young_any_race,pop_hispanic_middle_any_race,pop_hispanic_older_any_race,pop_total_black_non_hispanic,pop_adult_black_non_hispanic,pop_adult_male_black_non_hispanic,pop_adult_female_black_non_hispanic,pop_black_young_non_hispanic,pop_black_middle_non_hispanic,pop_black_older_non_hispanic,pop_total_white_non_hispanic,pop_adult_white_non_hispanic,pop_adult_male_white_non_hispanic,pop_adult_female_white_non_hispanic,pop_white_young_non_hispanic,pop_white_middle_non_hispanic,pop_white_older_non_hispanic,pop_total_AIAN_non_hispanic,pop_adult_AIAN_non_hispanic,pop_adult_male_AIAN_non_hispanic,pop_adult_female_AIAN_non_hispanic,pop_AIAN_young_non_hispanic,pop_AIAN_middle_non_hispanic,pop_AIAN_older_non_hispanic,pop_total_API_non_hispanic,pop_adult_API_non_hispanic,pop_adult_male_API_non_hispanic,pop_adult_female_API_non_hispanic,pop_API_young_non_hispanic,pop_API_middle_non_hispanic,pop_API_older_non_hispanic
04019,2010,Pima,981649,756826,367244,389582,333809,241614,406226,121865,85493,42229,43264,53815,35115,32935,340154,224116,107100,117016,159033,94416,86705,35900,25833,14393,11440,14920,9997,10983,551556,466465,227256,239209,138116,120809,292631,25279,17479,8151,9328,11261,7117,6901,28760,22933,10344,12589,10479,9275,9006
04019,2011,Pima,988500,765156,372168,392988,337212,240668,410620,124803,88109,43700,44409,55271,35645,33887,346229,230570,110571,119999,161273,95468,89488,36653,26563,14918,11645,15262,10133,11258,549994,466308,227542,238766,138024,118457,293513,25645,17806,8353,9453,11434,7156,7055,29979,23909,10784,13125,11219,9454,9306
04019,2012,Pima,993231,771246,375433,395813,339724,239559,413948,127398,90329,44877,45452,56615,36170,34613,351658,236337,113302,123035,163479,96136,92043,37381,27201,15317,11884,15619,10333,11429,547397,464899,227093,237806,137362,116299,293736,25903,18044,8498,9546,11561,7199,7143,30892,24765,11223,13542,11703,9592,9597
04019,2013,Pima,997374,776739,378288,398451,342172,238384,416818,129818,92463,46050,46413,57895,36456,35467,357032,242163,116084,126079,165452,96875,94705,37918,27666,15668,11998,15945,10410,11563,544228,462958,226242,236716,136748,114180,293300,26152,18202,8544,9658,11671,7218,7263,32044,25750,11750,14000,12356,9701,9987
04019,2014,Pima,1004521,784129,382447,401682,344038,239140,421343,132451,94753,47282,47471,58714,37281,36456,363277,247982,119134,128848,167473,98465,97339,38604,28207,15997,12210,16233,10558,11813,543131,462805,226381,236424,135879,112819,294433,26372,18407,8674,9733,11612,7380,7380,33137,26728,12261,14467,12841,9918,10378
04019,2015,Pima,1009490,790273,385156,405117,342892,239516,427082,134188,96309,48037,48272,58836,37846,37506,370001,254246,122140,132106,168906,100501,100594,38667,28329,16051,12278,16048,10611,12008,540562,461702,225601,236101,133578,110858,296126,26555,18643,8775,9868,11566,7443,7546,33705,27353,12589,14764,12794,10103,10808
04019,2016,Pima,1017083,798922,389513,409409,341261,241903,433919,137008,98769,49238,49531,59599,38669,38740,376288,260262,125101,135161,169963,102619,103706,39536,29171,16515,12656,16187,10909,12440,539997,462446,226087,236359,130650,110510,298837,26648,18812,8833,9979,11413,7546,7689,34614,28231,12977,15254,13048,10319,11247
04019,2017,Pima,1027115,809751,394786,414965,339825,246412,440878,139810,101242,50504,50738,59953,39872,39985,383198,266856,128278,138578,170406,105820,106972,40491,30051,16980,13071,16293,11409,12789,541381,464855,227250,237605,128894,110962,301525,26765,19021,8915,10106,11266,7623,7876,35280,28968,13363,15605,12966,10598,11716
04019,2018,Pima,1037746,821642,400505,421137,338579,251463,447704,142230,103599,51661,51938,60247,40805,41178,389909,273918,131736,142182,170722,108809,110378,41220,30801,17339,13462,16319,11804,13097,543816,468027,228712,239315,127446,112361,304009,26909,19324,9033,10291,11125,7694,8090,35892,29572,13685,15887,12967,10795,12130
04019,2019,Pima,1049261,833813,406152,427661,337457,256761,455043,145010,106019,52890,53129,60564,42088,42358,396734,280767,135016,145751,171204,111733,113797,42057,31639,17778,13861,16245,12371,13441,546866,471663,230228,241435,126096,113794,306976,27133,19624,9174,10450,11033,7819,8281,36471,30120,13956,16164,12879,11044,12548
04019,2020,Pima,1061175,846409,411913,434496,337175,260714,463286,147609,108551,54139,54412,60678,43081,43850,403247,287503,138060,149443,171446,114122,117679,42916,32530,18268,14262,16238,12840,13838,550681,475772,232073,243699,125785,114716,310180,27307,19982,9329,10653,10839,7911,8557,37024,30622,14183,16439,12867,11125,13032
06037,2010,Los Angeles,9821647,7429043,3617136,3811907,3455130,2903833,3462684,2632011,2053602,949419,1104183,859807,772194,1000010,4693585,3210550,1588562,1621988,2065054,1465026,1163505,860745,656628,299927,356701,298659,228960,333126,2832578,2384313,1188014,1196299,693407,770989,1368182,27624,22053,10411,11642,8378,7796,11450,1407115,1155499,530222,625277,389632,431062,586421
06037,2011,Los Angeles,9873700,7505674,3653344,3852330,3436440,2910392,3526868,2656145,2084256,963668,1120588,854928,778161,1023056,4733086,3264502,1613548,1650954,2059594,1467432,1206060,860823,660907,302051,358856,295695,227870,337258,2824314,2381838,1187828,1194010,683353,770871,1370090,27712,22178,10471,11707,8311,7778,11623,1427765,1176249,539446,636803,389487,436441,601837
